Date,Open,High,Low,Close ,Adj Close ,Volume
16-Oct-24,"67,042.46","68,375.29","66,758.73","67,612.72","67,612.72","38,195,189,534"
15-Oct-24,"66,050.37","67,881.68","64,809.20","67,041.11","67,041.11","48,863,870,879"
14-Oct-24,"62,848.40","66,482.49","62,442.15","66,046.13","66,046.13","43,706,958,056"
13-Oct-24,"63,192.95","63,272.65","62,035.64","62,851.38","62,851.38","18,177,529,690"
12-Oct-24,"62,444.62","63,448.79","62,443.27","63,193.02","63,193.02","16,744,110,886"
11-Oct-24,"60,275.46","63,400.87","60,046.13","62,445.09","62,445.09","30,327,141,594"
10-Oct-24,"60,581.93","61,236.72","58,895.21","60,274.50","60,274.50","30,452,813,570"
09-Oct-24,"62,131.73","62,508.84","60,314.61","60,582.10","60,582.10","27,670,982,363"
08-Oct-24,"62,221.64","63,174.30","61,843.56","62,131.97","62,131.97","28,134,475,157"
07-Oct-24,"62,819.11","64,443.71","62,152.55","62,236.66","62,236.66","34,253,562,610"
06-Oct-24,"62,084.99","62,959.57","61,833.15","62,818.95","62,818.95","14,776,233,667"
05-Oct-24,"62,067.61","62,371.02","61,689.58","62,089.95","62,089.95","13,305,410,749"
04-Oct-24,"60,754.63","62,465.99","60,459.94","62,067.48","62,067.48","29,585,472,513"
03-Oct-24,"60,632.48","61,469.04","59,878.80","60,759.40","60,759.40","36,106,447,279"
02-Oct-24,"60,836.32","62,357.69","59,996.95","60,632.79","60,632.79","40,762,722,398"
01-Oct-24,"63,335.61","64,110.98","60,189.28","60,837.01","60,837.01","50,220,923,500"
30-Sep-24,"65,634.66","65,635.05","62,873.62","63,329.50","63,329.50","37,112,957,475"
29-Sep-24,"65,888.90","66,069.34","65,450.02","65,635.30","65,635.30","14,788,214,575"
28-Sep-24,"65,792.18","66,255.53","65,458.04","65,887.65","65,887.65","15,243,637,984"
27-Sep-24,"65,180.66","66,480.70","64,852.99","65,790.66","65,790.66","32,058,813,449"
26-Sep-24,"63,138.55","65,790.80","62,669.27","65,181.02","65,181.02","36,873,129,847"
25-Sep-24,"64,302.59","64,804.50","62,945.38","63,143.14","63,143.14","25,078,377,700"
24-Sep-24,"63,326.84","64,695.21","62,737.42","64,301.97","64,301.97","29,938,335,243"
23-Sep-24,"63,643.10","64,733.56","62,628.08","63,329.80","63,329.80","31,400,285,425"
22-Sep-24,"63,396.80","63,993.42","62,440.73","63,648.71","63,648.71","20,183,348,802"
21-Sep-24,"63,184.34","63,543.36","62,783.11","63,394.84","63,394.84","14,408,616,220"
20-Sep-24,"62,941.43","64,119.53","62,364.61","63,192.98","63,192.98","35,177,164,222"
19-Sep-24,"61,651.16","63,872.44","61,609.87","62,940.46","62,940.46","42,710,252,573"
18-Sep-24,"60,309.00","61,664.07","59,218.25","61,649.68","61,649.68","40,990,702,891"
17-Sep-24,"58,192.51","61,316.09","57,628.07","60,308.54","60,308.54","38,075,570,118"
16-Sep-24,"59,185.23","59,205.51","57,501.34","58,192.51","58,192.51","32,032,822,113"
15-Sep-24,"60,000.73","60,381.92","58,696.31","59,182.84","59,182.84","18,120,960,867"
14-Sep-24,"60,569.12","60,656.72","59,517.88","60,005.12","60,005.12","16,428,405,496"
13-Sep-24,"58,130.32","60,648.02","57,650.11","60,571.30","60,571.30","32,490,528,356"
12-Sep-24,"57,343.17","58,534.36","57,330.10","58,127.01","58,127.01","33,835,707,949"
11-Sep-24,"57,650.29","57,991.32","55,567.34","57,343.17","57,343.17","37,049,062,672"
10-Sep-24,"57,020.10","58,029.98","56,419.41","57,648.71","57,648.71","28,857,630,507"
09-Sep-24,"54,851.89","58,041.13","54,598.43","57,019.54","57,019.54","34,618,096,173"
08-Sep-24,"54,147.93","55,300.86","53,653.76","54,841.57","54,841.57","18,268,287,531"
07-Sep-24,"53,949.09","54,838.14","53,740.07","54,139.69","54,139.69","19,061,486,526"
06-Sep-24,"56,160.19","56,976.11","52,598.70","53,948.75","53,948.75","49,361,693,566"
05-Sep-24,"57,971.70","58,300.58","55,712.45","56,160.49","56,160.49","31,030,280,656"
04-Sep-24,"57,430.35","58,511.57","55,673.16","57,971.54","57,971.54","35,627,680,312"
03-Sep-24,"59,106.19","59,815.06","57,425.17","57,431.02","57,431.02","26,666,961,053"
02-Sep-24,"57,326.97","59,403.07","57,136.03","59,112.48","59,112.48","27,036,454,524"
01-Sep-24,"58,969.80","59,062.07","57,217.82","57,325.49","57,325.49","24,592,449,997"
31-Aug-24,"59,117.48","59,432.59","58,768.79","58,969.90","58,969.90","12,403,470,760"
30-Aug-24,"59,388.60","59,896.89","57,768.53","59,119.48","59,119.48","32,292,756,405"
29-Aug-24,"59,027.47","61,184.08","58,786.23","59,388.18","59,388.18","32,224,990,582"
28-Aug-24,"59,507.93","60,236.45","57,890.68","59,027.63","59,027.63","40,289,564,698"
27-Aug-24,"62,879.71","63,210.80","58,116.75","59,504.13","59,504.13","39,103,882,198"
26-Aug-24,"64,342.23","64,489.71","62,849.56","62,880.66","62,880.66","27,682,040,631"
25-Aug-24,"64,176.37","64,996.42","63,833.52","64,333.54","64,333.54","18,827,683,555"
24-Aug-24,"64,103.87","64,513.79","63,619.92","64,178.99","64,178.99","21,430,585,163"
23-Aug-24,"60,380.95","64,947.06","60,372.05","64,094.36","64,094.36","42,530,509,233"
22-Aug-24,"61,168.32","61,408.11","59,815.25","60,381.91","60,381.91","27,625,734,377"
21-Aug-24,"59,014.99","61,834.35","58,823.45","61,175.19","61,175.19","32,731,154,072"
20-Aug-24,"59,493.45","61,396.33","58,610.88","59,012.79","59,012.79","31,613,400,008"
19-Aug-24,"58,480.71","59,612.66","57,864.71","59,493.45","59,493.45","25,911,207,712"
18-Aug-24,"59,468.13","60,262.72","58,445.40","58,483.96","58,483.96","17,740,625,837"
17-Aug-24,"58,893.53","59,694.67","58,814.83","59,478.97","59,478.97","13,589,684,021"
16-Aug-24,"57,560.27","59,847.36","57,110.02","58,894.11","58,894.11","29,350,938,673"
15-Aug-24,"58,733.26","59,838.65","56,161.59","57,560.10","57,560.10","35,682,112,440"
14-Aug-24,"60,611.05","61,687.76","58,472.88","58,737.27","58,737.27","29,961,696,180"
13-Aug-24,"59,356.21","61,572.40","58,506.25","60,609.57","60,609.57","30,327,698,167"
12-Aug-24,"58,719.39","60,680.33","57,688.90","59,354.52","59,354.52","37,078,637,820"
11-Aug-24,"60,944.89","61,778.66","58,348.82","58,719.48","58,719.48","22,759,754,812"
10-Aug-24,"60,881.23","61,464.51","60,287.57","60,945.81","60,945.81","15,745,822,278"
09-Aug-24,"61,728.21","61,751.86","59,587.86","60,880.11","60,880.11","33,425,553,115"
08-Aug-24,"55,030.03","62,673.77","54,766.73","61,710.14","61,710.14","45,298,472,567"
07-Aug-24,"56,040.63","57,726.88","54,620.51","55,027.46","55,027.46","41,637,562,185"
06-Aug-24,"53,991.35","57,059.92","53,973.27","56,034.32","56,034.32","49,300,484,106"
05-Aug-24,"58,110.30","58,268.83","49,121.24","53,991.46","53,991.46","108,991,085,584"
04-Aug-24,"60,676.09","61,062.99","57,210.80","58,116.98","58,116.98","31,758,917,219"
03-Aug-24,"61,414.81","62,148.37","59,836.53","60,680.09","60,680.09","31,753,030,589"
02-Aug-24,"65,353.50","65,523.22","61,184.89","61,415.07","61,415.07","43,060,875,727"
