iperm,date_announce
10230,8 Dec 1989
10230,12 Feb 1990
10230,20 Sep 1994
10230,22 Oct 1998
10230,27 Jan 2000
10231,14 Aug 1989
10231,16 Nov 1994
10231,13 Sep 1995
10232,30 Nov 1998
10232,8 Dec 1998
10232,4 Dec 2002
10232,10 Dec 2003
10232,6 Dec 2004
10232,28 Nov 2005
10233,23 Mar 1983
10233,3 May 1983
10233,3 Jan 1984
10233,9 Jan 1984
10233,25 Jan 1984
10235,8 May 2001
10235,20 Apr 2004
10238,26 Oct 1990
10238,5 Feb 1996
10238,5 Feb 1996
10238,23 Jan 1997
10238,23 Jan 1997
10238,8 May 1997
10238,9 May 1997
10238,27 Mar 1998
10238,10 Jun 1998
10238,13 Aug 1998
10238,11 Mar 1999
10238,2 Jul 1999
10238,9 Jul 1999
10238,26 Oct 2005
10239,17 May 1988
10239,6 Mar 1995
10241,27 May 1987
10241,25 Nov 1987
10243,24 Dec 1990
10243,13 Nov 1992
10246,27 Dec 1994
10248,22 Oct 1987
10248,15 Sep 1989
10250,5 Jan 1989
10250,21 Jul 1992
10250,16 Aug 1995
10252,6 Apr 1993
10252,12 Apr 1993
10252,3 Sep 1993
10252,4 Apr 1994
10252,21 Dec 1994
10252,9 Jul 1998
10252,27 Sep 1999
10252,17 May 2000
10252,9 Jan 2004
10256,15 Oct 1990
10256,20 Dec 1990
10257,2 Aug 1999
10257,10 Apr 2000
10257,15 Aug 2000
10257,17 Nov 2000
10257,27 Nov 2000
10257,4 Dec 2001
10257,3 Jan 2002
10257,26 May 2005
10258,21 Nov 2000
10259,20 Feb 1990
10259,29 May 1990
10259,24 Apr 1996
10259,15 Dec 2005
10261,31 May 1990
10261,5 Sep 1990
10261,17 Apr 1991
10261,31 Aug 1992
10269,24 Oct 1983
10271,26 Jun 1989
10271,18 Oct 1989
10271,27 Oct 1993
10271,26 Oct 1994
10271,18 Jul 1996
10271,26 Feb 1997
10271,17 Jan 2001
10272,20 Sep 1990
10272,20 Apr 1999
10272,13 Dec 2002
10272,25 Feb 2004
10272,20 Aug 2004
10272,20 Sep 2004
10272,3 Aug 2005
10272,3 Aug 2005
10275,2 Aug 1995
10275,27 Oct 2004
10276,24 Sep 2002
10276,24 Apr 2003
10276,8 Sep 2003
10278,15 Jun 1989
10278,29 Dec 1989
10278,30 Jan 1992
10278,9 Mar 1992
10278,1 Sep 1992
10278,1 Sep 1992
10278,14 May 1993
10278,2 Sep 1993
10278,1 Dec 1993
10278,1 Dec 1993
10278,15 Mar 1994
10278,15 Mar 1994
10278,6 Feb 1995
10278,12 Dec 1995
10278,13 Aug 1996
10278,18 Nov 1996
10281,3 Apr 1990
10281,2 Oct 1990
